Product,UN Region,Country,Organisation,Metric Tons,Price
PP9054,East Asia,South Korea,Prime Solutions,321.75,1049.77
PP1013H1,East Asia,Japan,Prime Chemicals,148.5,1058.05
PP9054,East Asia,Japan,Vertex Materials,198.0,1199.13
HD5001,East Asia,Japan,Advanced Chemicals,990.0,1014.13
LD01820,East Asia,Japan,United Chemicals,371.25,1107.56
HD5001,East Asia,South Korea,Global Industries,866.25,1055.67
PP7032E2,East Asia,China,Global Resins,866.25,1174.03
PP7032E2,East Asia,Mongolia,United Industries,222.75,1088.45
LL0825,East Asia,Japan,Global Materials,198.0,1005.92
PP9054,East Asia,China,United Resins,990.0,1182.78
LL0825,East Asia,South Korea,Dynamic Chemicals,594.0,1077.35
PP9054,East Asia,South Korea,Vertex Materials,297.0,1101.72
HD5001,East Asia,South Korea,Prime Materials,792.0,1046.58
PP7032E2,East Asia,Japan,Summit Resins,222.75,1160.35
PP9054,East Asia,South Korea,Advanced Polymers,569.25,1155.01
LD01820,East Asia,Japan,Advanced Materials,247.5,1161.64
PP9054,East Asia,Japan,Summit Resins,99.0,1029.44
HD5001,East Asia,Japan,Global Industries,470.25,1178.65
LL0825,East Asia,Mongolia,Omni Industries,519.75,1158.09
LL0825,East Asia,South Korea,Omni Chemicals,396.0,1188.86
PP9054,East Asia,Mongolia,Omni Chemicals,123.75,1067.09
PP1013H1,East Asia,Mongolia,United Polymers,198.0,1089.25
LL0825,East Asia,South Korea,United Chemicals,569.25,1178.75
PP1013H1,East Asia,China,Omni Resins,49.5,1116.1
LL0825,East Asia,Mongolia,Summit Materials,767.25,1131.34
LL0825,East Asia,Mongolia,Omni Chemicals,792.0,1162.44
LD01820,East Asia,Japan,Omni Chemicals,173.25,1077.99
HD5001,East Asia,South Korea,Omni Chemicals,767.25,1107.39
HD5001,East Asia,South Korea,United Solutions,198.0,1027.97
PP7032E2,East Asia,China,Dynamic Materials,247.5,1075.97
LL0825,East Asia,China,United Resins,173.25,1061.63
PP1013H1,East Asia,Japan,Global Chemicals,495.0,1115.6
PP9054,East Asia,China,Dynamic Materials,693.0,1137.95
LD01820,East Asia,China,Dynamic Resins,816.75,1105.64
HD5001,East Asia,South Korea,Dynamic Solutions,247.5,1016.07
HD5001,East Asia,Japan,Prime Industries,792.0,1011.13
HD5001,East Asia,Mongolia,Omni Polymers,717.75,1001.64
LD01820,East Asia,Mongolia,United Chemicals,618.75,1002.8
HD5001,East Asia,South Korea,Omni Industries,519.75,1021.16
PP9054,East Asia,Japan,Omni Polymers,965.25,1080.33
LD01820,East Asia,Mongolia,Summit Industries,841.5,1086.06
LL0825,East Asia,Japan,Dynamic Solutions,371.25,1037.19
LD01820,East Asia,Japan,United Industries,569.25,1044.92
PP9054,East Asia,South Korea,Summit Chemicals,544.5,1126.64
HD5001,East Asia,Mongolia,Vertex Industries,272.25,1029.11
PP1013H1,East Asia,Japan,Advanced Solutions,470.25,1011.85
PP7032E2,East Asia,Japan,Prime Resins,24.75,1042.09
PP9054,East Asia,South Korea,Summit Resins,49.5,1002.74
LL0825,East Asia,Japan,Dynamic Chemicals,247.5,1086.96
HD5001,East Asia,South Korea,Vertex Industries,24.75,1016.68
LD01820,East Asia,Japan,Summit Chemicals,321.75,1173.11
PP9054,East Asia,Japan,Advanced Chemicals,990.0,1175.36
HD5001,East Asia,China,Summit Polymers,49.5,1191.04
PP1013H1,East Asia,South Korea,Prime Polymers,717.75,1105.11
LD01820,East Asia,China,Global Resins,148.5,1058.02
LL0825,East Asia,China,Summit Polymers,866.25,1173.91
PP1013H1,East Asia,Mongolia,Prime Materials,396.0,1023.61
HD5001,East Asia,China,United Chemicals,74.25,1036.17
PP7032E2,East Asia,Japan,Dynamic Materials,123.75,1007.83
LL0825,East Asia,China,Advanced Polymers,594.0,1045.43
PP9054,East Asia,China,Advanced Chemicals,346.5,1062.84
PP1013H1,East Asia,Mongolia,Summit Solutions,742.5,1008.85
PP9054,East Asia,South Korea,Vertex Resins,569.25,1161.22
HD5001,East Asia,Mongolia,Prime Resins,940.5,1150.81
LL0825,East Asia,China,Summit Materials,940.5,1081.63
PP1013H1,East Asia,South Korea,Global Chemicals,297.0,1125.11
LD01820,East Asia,Japan,United Solutions,915.75,1012.06
HD5001,East Asia,Japan,Prime Chemicals,693.0,1171.49
HD5001,East Asia,Mongolia,Prime Industries,519.75,1014.58
PP1013H1,East Asia,Mongolia,Dynamic Chemicals,717.75,1033.05
PP7032E2,East Asia,China,United Solutions,198.0,1138.09
PP1013H1,East Asia,Japan,Vertex Materials,519.75,1085.75
LD01820,East Asia,Japan,United Polymers,965.25,1021.04
PP7032E2,East Asia,China,Prime Industries,940.5,1075.83
PP9054,East Asia,China,Dynamic Industries,173.25,1164.84
HD5001,East Asia,China,Dynamic Solutions,618.75,1118.97
PP1013H1,East Asia,China,Dynamic Materials,594.0,1148.18
PP9054,East Asia,South Korea,United Polymers,173.25,1105.99
PP1013H1,East Asia,Mongolia,Summit Industries,965.25,1123.32
PP9054,East Asia,Japan,Omni Polymers,346.5,1112.16
HD5001,East Asia,Mongolia,Vertex Solutions,792.0,1028.07
LD01820,East Asia,Mongolia,Vertex Resins,148.5,1097.37
LD01820,East Asia,South Korea,Dynamic Chemicals,891.0,1070.0
LD01820,East Asia,Mongolia,Summit Polymers,841.5,1009.76
LD01820,East Asia,Japan,United Solutions,891.0,1137.11
LD01820,East Asia,Mongolia,Global Industries,24.75,1138.29
HD5001,East Asia,Mongolia,United Industries,990.0,1089.28
HD5001,East Asia,Mongolia,Omni Chemicals,792.0,1075.02
LL0825,East Asia,Japan,United Industries,792.0,1172.97
PP1013H1,East Asia,Mongolia,Dynamic Industries,371.25,1159.48
PP9054,East Asia,Mongolia,Dynamic Chemicals,470.25,1076.83
PP7032E2,East Asia,South Korea,Advanced Materials,618.75,1014.98
LD01820,East Asia,China,Vertex Solutions,148.5,1107.28
LL0825,East Asia,Japan,Advanced Industries,445.5,1050.44
LD01820,East Asia,China,Dynamic Chemicals,148.5,1071.57
PP1013H1,East Asia,Mongolia,Prime Materials,49.5,1127.62
LL0825,East Asia,China,United Materials,495.0,1132.36
HD5001,East Asia,Mongolia,United Solutions,915.75,1137.48
LL0825,East Asia,Japan,Omni Chemicals,148.5,1178.14
PP7032E2,East Asia,Japan,Prime Polymers,24.75,1153.57
PP1013H1,East Asia,China,United Chemicals,420.75,1050.16
PP9054,East Asia,Mongolia,United Polymers,519.75,1112.1
PP1013H1,East Asia,Mongolia,Global Materials,767.25,1190.08
LL0825,East Asia,Mongolia,Advanced Solutions,569.25,1198.61
LL0825,East Asia,Japan,Prime Solutions,816.75,1028.48
PP1013H1,East Asia,Japan,Vertex Chemicals,272.25,1171.53
PP9054,East Asia,Japan,Global Solutions,99.0,1028.07
HD5001,East Asia,China,Omni Chemicals,24.75,1193.34
PP7032E2,East Asia,Mongolia,Omni Chemicals,247.5,1075.35
PP7032E2,East Asia,Mongolia,Advanced Polymers,346.5,1076.54
HD5001,East Asia,Japan,Dynamic Chemicals,396.0,1036.92
PP9054,East Asia,Mongolia,Omni Resins,618.75,1062.39
PP1013H1,East Asia,South Korea,Prime Chemicals,544.5,1025.65
PP7032E2,East Asia,South Korea,Prime Resins,396.0,1007.96
HD5001,East Asia,Japan,Global Materials,420.75,1098.12
LL0825,East Asia,South Korea,Vertex Materials,569.25,1032.18
HD5001,East Asia,Japan,Summit Industries,519.75,1043.54
PP1013H1,East Asia,Mongolia,United Resins,643.5,1006.99
PP7032E2,East Asia,Japan,Dynamic Materials,297.0,1005.35
PP7032E2,East Asia,China,Summit Resins,173.25,1012.27
LD01820,East Asia,South Korea,Advanced Chemicals,420.75,1088.92
HD5001,East Asia,Japan,Omni Chemicals,74.25,1063.78
PP1013H1,East Asia,Mongolia,Vertex Resins,470.25,1152.49
HD5001,East Asia,Mongolia,Global Polymers,24.75,1121.77
HD5001,East Asia,China,Advanced Polymers,594.0,1036.67
PP9054,East Asia,China,Omni Resins,272.25,1086.28
PP7032E2,East Asia,China,Omni Polymers,519.75,1061.84
LD01820,East Asia,South Korea,Dynamic Solutions,891.0,1000.49
PP7032E2,East Asia,South Korea,Advanced Materials,717.75,1183.28
PP7032E2,East Asia,Japan,Global Resins,990.0,1135.33
LD01820,East Asia,Mongolia,Summit Materials,544.5,1014.65
PP1013H1,East Asia,Mongolia,Prime Chemicals,247.5,1151.43
LL0825,East Asia,South Korea,Global Industries,445.5,1153.09
LL0825,East Asia,China,Summit Materials,321.75,1035.87
PP1013H1,East Asia,Japan,Dynamic Resins,99.0,1172.81
LD01820,East Asia,Japan,Vertex Chemicals,668.25,1055.5
PP9054,East Asia,Japan,Omni Solutions,470.25,1147.7
HD5001,East Asia,Mongolia,Vertex Solutions,123.75,1051.01
LL0825,East Asia,South Korea,Vertex Resins,420.75,1080.24
PP7032E2,East Asia,Japan,Summit Resins,99.0,1170.23
HD5001,East Asia,Mongolia,Summit Industries,569.25,1032.12
LL0825,East Asia,Mongolia,Prime Industries,693.0,1157.25
HD5001,East Asia,Japan,United Industries,915.75,1047.04
LL0825,East Asia,Mongolia,Prime Industries,569.25,1035.17
LD01820,East Asia,Mongolia,Prime Polymers,990.0,1183.14
PP7032E2,East Asia,Japan,Dynamic Solutions,693.0,1055.47
LD01820,East Asia,China,Global Polymers,74.25,1040.79
PP9054,East Asia,Japan,Summit Chemicals,272.25,1111.61
HD5001,East Asia,China,Advanced Resins,990.0,1125.42
PP1013H1,East Asia,Japan,Omni Industries,940.5,1167.26
PP7032E2,East Asia,South Korea,Omni Materials,519.75,1119.39
PP9054,East Asia,China,Vertex Industries,396.0,1164.89
PP7032E2,East Asia,Mongolia,Prime Materials,544.5,1076.1
LL0825,East Asia,China,Omni Materials,222.75,1198.95
LL0825,East Asia,Japan,Advanced Chemicals,965.25,1054.27
PP7032E2,East Asia,China,United Solutions,668.25,1030.83
HD5001,East Asia,Japan,Summit Polymers,495.0,1160.26
LL0825,East Asia,China,Global Industries,445.5,1014.8
HD5001,East Asia,South Korea,Global Chemicals,767.25,1010.96
PP9054,East Asia,China,Vertex Polymers,346.5,1103.66
LD01820,East Asia,Mongolia,Advanced Resins,544.5,1034.6
HD5001,East Asia,China,Advanced Solutions,940.5,1000.35
HD5001,East Asia,Mongolia,Prime Resins,866.25,1021.39
LD01820,East Asia,China,Global Chemicals,272.25,1165.61
LL0825,East Asia,Japan,Dynamic Polymers,321.75,1095.12
HD5001,East Asia,China,Prime Materials,891.0,1040.11
LL0825,East Asia,China,United Resins,717.75,1159.76
PP1013H1,East Asia,Mongolia,Summit Chemicals,445.5,1134.57
HD5001,East Asia,China,Summit Industries,618.75,1129.74
LD01820,East Asia,Mongolia,Prime Materials,866.25,1006.21
PP7032E2,East Asia,South Korea,Omni Chemicals,990.0,1054.15
LD01820,East Asia,South Korea,Prime Materials,346.5,1173.34
LL0825,East Asia,South Korea,Global Resins,965.25,1140.15
HD5001,East Asia,Japan,Vertex Solutions,346.5,1076.01
LL0825,East Asia,South Korea,Prime Solutions,297.0,1168.75
HD5001,East Asia,South Korea,United Materials,693.0,1093.96
PP1013H1,East Asia,China,Omni Polymers,396.0,1093.49
LL0825,East Asia,Mongolia,Omni Resins,569.25,1094.04
PP7032E2,East Asia,Japan,Advanced Resins,569.25,1170.01
PP7032E2,East Asia,Japan,United Chemicals,297.0,1014.44
PP9054,East Asia,South Korea,Omni Solutions,915.75,1028.12
PP1013H1,East Asia,Japan,Vertex Chemicals,618.75,1133.96
LL0825,East Asia,Japan,Global Solutions,247.5,1017.65
PP9054,East Asia,South Korea,Dynamic Solutions,99.0,1169.37
LL0825,East Asia,Mongolia,Prime Polymers,940.5,1107.27
LD01820,East Asia,Japan,Advanced Solutions,742.5,1194.56
PP7032E2,East Asia,Mongolia,Omni Materials,569.25,1091.55
LD01820,East Asia,Japan,Omni Industries,445.5,1198.91
PP1013H1,East Asia,South Korea,Vertex Chemicals,371.25,1097.49
LD01820,East Asia,South Korea,Omni Polymers,693.0,1183.08
HD5001,East Asia,Mongolia,Vertex Polymers,643.5,1045.77
PP7032E2,East Asia,South Korea,Omni Resins,495.0,1131.2
PP1013H1,East Asia,China,Advanced Materials,198.0,1024.98
PP7032E2,East Asia,Mongolia,Dynamic Materials,123.75,1035.82
LD01820,East Asia,South Korea,United Industries,222.75,1014.84
PP1013H1,East Asia,South Korea,Vertex Chemicals,668.25,1019.27
HD5001,East Asia,Japan,Vertex Solutions,693.0,1085.13
HD5001,East Asia,China,Omni Resins,74.25,1145.03
PP7032E2,East Asia,Mongolia,United Resins,297.0,1166.23
PP1013H1,East Asia,Mongolia,United Chemicals,792.0,1054.85
HD5001,East Asia,South Korea,Dynamic Resins,445.5,1196.71
PP1013H1,East Asia,China,Advanced Solutions,247.5,1053.67
PP7032E2,East Asia,Mongolia,Prime Resins,792.0,1051.61
LL0825,East Asia,China,Omni Resins,297.0,1130.02
PP7032E2,East Asia,Japan,Prime Industries,767.25,1105.42
LL0825,East Asia,China,Global Resins,74.25,1112.26
PP9054,East Asia,Mongolia,Omni Solutions,742.5,1169.74
PP7032E2,East Asia,Mongolia,Prime Chemicals,643.5,1066.45
LL0825,East Asia,Japan,Global Solutions,198.0,1169.13
LL0825,East Asia,China,Prime Chemicals,965.25,1080.27
LD01820,East Asia,Japan,United Polymers,519.75,1191.48
LD01820,East Asia,South Korea,Prime Solutions,74.25,1120.63
LD01820,East Asia,South Korea,Vertex Chemicals,519.75,1144.24
PP9054,East Asia,Japan,Omni Resins,792.0,1115.45
PP7032E2,East Asia,South Korea,Omni Solutions,297.0,1087.09
PP9054,East Asia,Mongolia,Vertex Materials,519.75,1042.32
PP9054,East Asia,South Korea,United Resins,569.25,1041.55
HD5001,East Asia,Japan,Omni Industries,24.75,1115.32
PP7032E2,East Asia,Japan,Advanced Materials,841.5,1137.57
PP9054,East Asia,Mongolia,Summit Resins,767.25,1013.91
HD5001,East Asia,South Korea,Omni Polymers,717.75,1067.89
PP7032E2,East Asia,Japan,United Industries,792.0,1058.44
HD5001,East Asia,China,Omni Solutions,519.75,1121.36
HD5001,East Asia,Mongolia,United Industries,99.0,1185.03
HD5001,East Asia,China,Dynamic Solutions,74.25,1143.56
LL0825,East Asia,Japan,Global Polymers,668.25,1046.88
LL0825,East Asia,Japan,Global Materials,891.0,1070.01
LL0825,East Asia,China,United Polymers,99.0,1177.14
PP1013H1,East Asia,Japan,Vertex Industries,816.75,1065.47
HD5001,East Asia,Japan,Prime Polymers,792.0,1195.4
HD5001,East Asia,China,Prime Chemicals,396.0,1027.4
PP1013H1,East Asia,Japan,Global Chemicals,915.75,1141.47
PP9054,East Asia,Mongolia,Omni Industries,544.5,1132.97
PP7032E2,East Asia,Japan,Global Solutions,866.25,1074.96
LD01820,East Asia,China,Vertex Polymers,148.5,1059.37
PP1013H1,East Asia,South Korea,Omni Resins,470.25,1196.75
PP7032E2,East Asia,China,Dynamic Polymers,792.0,1083.25
PP1013H1,East Asia,Japan,Vertex Materials,123.75,1073.24
LD01820,East Asia,China,Advanced Polymers,346.5,1124.58
PP9054,East Asia,Mongolia,Dynamic Chemicals,643.5,1067.36
PP7032E2,East Asia,China,Summit Solutions,420.75,1056.65
PP7032E2,East Asia,Japan,Dynamic Chemicals,792.0,1166.85
PP1013H1,East Asia,Mongolia,Vertex Polymers,173.25,1037.55
LL0825,East Asia,China,Omni Materials,272.25,1083.15
HD5001,East Asia,South Korea,Omni Materials,49.5,1193.35
PP7032E2,East Asia,Japan,Prime Resins,866.25,1105.84
LD01820,East Asia,South Korea,Global Resins,841.5,1004.55
HD5001,East Asia,South Korea,Global Materials,940.5,1055.47
PP7032E2,East Asia,Mongolia,Summit Solutions,49.5,1088.27
PP1013H1,East Asia,China,Summit Chemicals,742.5,1063.4
LD01820,East Asia,South Korea,Advanced Industries,445.5,1171.62
PP7032E2,East Asia,China,Advanced Materials,618.75,1086.53
HD5001,East Asia,Mongolia,Summit Materials,495.0,1180.62
LD01820,East Asia,South Korea,Omni Polymers,470.25,1052.35
PP1013H1,East Asia,Mongolia,Advanced Materials,74.25,1013.3
HD5001,East Asia,Japan,United Chemicals,668.25,1004.82
LD01820,East Asia,Japan,Dynamic Resins,693.0,1084.04
PP7032E2,East Asia,Mongolia,United Chemicals,371.25,1108.87
PP7032E2,East Asia,South Korea,Omni Chemicals,148.5,1178.53
LL0825,East Asia,China,Dynamic Resins,346.5,1087.34
PP1013H1,East Asia,Japan,Vertex Materials,470.25,1058.04
LL0825,East Asia,China,Dynamic Materials,272.25,1100.53
PP9054,East Asia,China,Vertex Solutions,569.25,1061.13
PP9054,East Asia,South Korea,Advanced Resins,792.0,1043.19
HD5001,East Asia,South Korea,Vertex Solutions,668.25,1099.23
LL0825,East Asia,Mongolia,Prime Industries,594.0,1102.42
PP1013H1,East Asia,South Korea,United Polymers,866.25,1029.56
PP7032E2,East Asia,South Korea,Dynamic Materials,618.75,1169.54
PP7032E2,East Asia,China,United Solutions,792.0,1014.39
HD5001,East Asia,South Korea,Advanced Resins,965.25,1052.07
PP7032E2,East Asia,Mongolia,Advanced Materials,965.25,1099.73
HD5001,East Asia,South Korea,Vertex Resins,198.0,1045.69
PP9054,East Asia,Mongolia,United Materials,841.5,1181.77
HD5001,East Asia,Japan,United Industries,618.75,1195.54
LL0825,East Asia,Mongolia,Summit Industries,24.75,1027.71
LD01820,East Asia,Mongolia,Vertex Chemicals,643.5,1159.06
LD01820,East Asia,China,Omni Resins,272.25,1189.39
PP7032E2,East Asia,South Korea,Dynamic Materials,222.75,1045.88
HD5001,East Asia,Japan,United Resins,742.5,1041.24
LL0825,East Asia,Japan,United Materials,717.75,1111.65
PP7032E2,East Asia,Mongolia,United Resins,470.25,1198.61
PP9054,East Asia,Japan,Global Resins,891.0,1163.7
PP7032E2,East Asia,China,Prime Resins,396.0,1191.7
HD5001,East Asia,Japan,Summit Materials,569.25,1036.09
LL0825,East Asia,China,Omni Chemicals,767.25,1147.28
PP9054,East Asia,Japan,Advanced Solutions,49.5,1150.27
PP9054,East Asia,Japan,Advanced Solutions,297.0,1196.53
PP1013H1,East Asia,China,Summit Resins,792.0,1072.53
PP1013H1,East Asia,Japan,Omni Chemicals,544.5,1145.34
PP7032E2,East Asia,South Korea,Prime Solutions,396.0,1101.64
PP7032E2,East Asia,Mongolia,Dynamic Chemicals,693.0,1034.24
PP1013H1,East Asia,China,Omni Materials,891.0,1086.46
LL0825,East Asia,South Korea,Omni Materials,272.25,1010.73
PP1013H1,East Asia,China,Summit Industries,445.5,1191.56
LD01820,East Asia,Mongolia,United Industries,445.5,1141.38
HD5001,East Asia,South Korea,Dynamic Materials,495.0,1030.24
HD5001,East Asia,Mongolia,Summit Industries,940.5,1093.06
HD5001,East Asia,Japan,Advanced Chemicals,792.0,1198.29
LD01820,East Asia,China,Global Chemicals,866.25,1030.68
LL0825,East Asia,Mongolia,Vertex Materials,495.0,1024.34
PP1013H1,East Asia,South Korea,Omni Resins,198.0,1137.73
HD5001,East Asia,Mongolia,Omni Chemicals,668.25,1095.6
LD01820,East Asia,South Korea,Summit Chemicals,965.25,1043.9
PP7032E2,East Asia,Mongolia,United Materials,866.25,1075.52
LL0825,East Asia,Mongolia,Omni Resins,445.5,1085.16
PP1013H1,East Asia,China,United Solutions,569.25,1137.65
HD5001,East Asia,South Korea,Global Chemicals,24.75,1199.65
HD5001,East Asia,Japan,Prime Materials,123.75,1085.15
LD01820,East Asia,Japan,Prime Solutions,841.5,1163.43
LD01820,East Asia,Japan,Global Resins,792.0,1125.17
PP9054,East Asia,Japan,Global Industries,990.0,1167.57
HD5001,East Asia,Mongolia,Advanced Materials,742.5,1148.51
LD01820,East Asia,South Korea,Global Polymers,940.5,1164.32
LL0825,East Asia,South Korea,Advanced Chemicals,544.5,1107.54
PP7032E2,East Asia,China,Vertex Solutions,123.75,1003.98
HD5001,East Asia,China,Advanced Industries,420.75,1002.74
HD5001,East Asia,Japan,Summit Chemicals,693.0,1190.34
PP9054,East Asia,Mongolia,Prime Industries,420.75,1171.33
PP9054,East Asia,Mongolia,Advanced Polymers,321.75,1139.38
PP9054,East Asia,South Korea,Global Solutions,643.5,1146.76
LL0825,East Asia,South Korea,Omni Solutions,767.25,1113.15
LD01820,East Asia,Mongolia,Advanced Materials,891.0,1011.49
PP7032E2,East Asia,China,Omni Solutions,569.25,1149.97
PP9054,East Asia,South Korea,Omni Chemicals,891.0,1086.22
PP7032E2,East Asia,China,Global Solutions,420.75,1095.71
PP7032E2,East Asia,South Korea,Vertex Solutions,643.5,1097.74
LD01820,East Asia,Japan,Omni Chemicals,544.5,1027.76
PP7032E2,East Asia,China,Dynamic Resins,594.0,1042.64
PP7032E2,East Asia,Mongolia,Advanced Chemicals,470.25,1140.11
HD5001,East Asia,South Korea,Summit Polymers,618.75,1170.38
PP9054,East Asia,South Korea,United Materials,445.5,1127.14
PP9054,East Asia,South Korea,Summit Solutions,742.5,1052.84
PP9054,East Asia,Mongolia,Prime Solutions,594.0,1170.38
PP9054,East Asia,South Korea,Advanced Industries,445.5,1106.5
PP1013H1,East Asia,Japan,Dynamic Solutions,940.5,1106.97
HD5001,East Asia,Mongolia,Vertex Industries,990.0,1089.67
PP9054,East Asia,Mongolia,Summit Industries,792.0,1055.88
HD5001,East Asia,South Korea,Prime Chemicals,148.5,1142.85
LL0825,East Asia,Japan,Dynamic Materials,222.75,1182.76
LD01820,East Asia,Mongolia,Vertex Polymers,891.0,1042.67
PP1013H1,East Asia,Mongolia,Prime Solutions,148.5,1027.23
PP1013H1,East Asia,Japan,Prime Solutions,49.5,1156.09
LL0825,East Asia,South Korea,Vertex Resins,618.75,1023.25
LL0825,East Asia,South Korea,Advanced Materials,198.0,1190.46
PP9054,East Asia,South Korea,Omni Solutions,544.5,1100.87
PP7032E2,East Asia,Mongolia,Global Solutions,396.0,1181.29
LD01820,East Asia,South Korea,Global Industries,371.25,1071.98
LD01820,East Asia,China,Global Materials,717.75,1173.72
LD01820,East Asia,China,Summit Resins,717.75,1016.04
LL0825,East Asia,South Korea,United Materials,891.0,1111.9
LD01820,East Asia,South Korea,Dynamic Industries,792.0,1001.41
PP9054,East Asia,South Korea,Prime Polymers,247.5,1120.58
PP7032E2,East Asia,South Korea,Omni Chemicals,594.0,1059.39
LD01820,East Asia,China,Global Solutions,891.0,1128.86
LD01820,East Asia,Mongolia,Omni Industries,544.5,1177.59
PP7032E2,East Asia,South Korea,Vertex Resins,247.5,1110.12
LL0825,East Asia,South Korea,Dynamic Materials,297.0,1167.81
PP7032E2,East Asia,South Korea,Dynamic Industries,742.5,1157.96
LD01820,East Asia,Mongolia,Dynamic Polymers,420.75,1094.75
HD5001,East Asia,Mongolia,Dynamic Resins,272.25,1112.59
LL0825,East Asia,Mongolia,United Polymers,198.0,1098.26
LL0825,East Asia,China,Global Chemicals,371.25,1189.42
HD5001,East Asia,Japan,Prime Resins,866.25,1006.67
PP1013H1,East Asia,Japan,Omni Industries,173.25,1017.82
HD5001,East Asia,Mongolia,Dynamic Industries,940.5,1078.74
PP1013H1,East Asia,South Korea,Dynamic Chemicals,643.5,1122.71
PP1013H1,East Asia,Japan,Omni Resins,247.5,1190.54
LL0825,East Asia,Japan,Vertex Materials,618.75,1165.65
LL0825,East Asia,Japan,Vertex Chemicals,396.0,1176.69
PP1013H1,East Asia,Mongolia,Dynamic Industries,445.5,1178.28
LD01820,East Asia,China,Prime Industries,396.0,1049.9
HD5001,East Asia,Mongolia,Summit Polymers,346.5,1165.72
HD5001,East Asia,Mongolia,Vertex Resins,693.0,1123.31
LD01820,East Asia,China,United Polymers,668.25,1117.52
